Common Name,Family,GenusSpecies,Genus,Category,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Favg,Loffspring,,,,,,,,,,,Region,Sources
Silvery pout,Gadidae,Gadiculus argenteus,Gadiculus,Teleostei,48.97999954,3,16.10000038,TL,NA,NA,NA,NA,,,,,,,,,,,,
Alaska pollock,Gadidae,Gadus chalcogrammus,Gadus,Teleostei,3850,28,91,TL,3.666666667,30,1467841.667,NA,,,,,,,,,,,,
Atlantic cod,Gadidae,Gadus morhua,Gadus,Teleostei,96000,25,200,TL,3.625,51.00370372,4122587.687,0.4505,,,,,,,,,,,,
Grape-eye seabass,Malakichthyidae,Hemilutjanus macrophthalmos,Hemilutjanus,Teleostei,1741,NA,50,SL,NA,NA,NA,NA,,,,,,,,,,,,
Longfin halfbeak,Hemiramphidae,Hemiramphus saltator,Hemiramphus,Teleostei,223.25,NA,48,TL,NA,NA,NA,0.5,,,,,,,,,,,,
Orange roughy,Trachichthyidae,Hoplostethus atlanticus,Hoplostethus,Teleostei,7000,149,75,TL,10.2,26.85714286,80286,NA,,,,,,,,,,,,
Bluenose warehou,Centrolophidae,Hyperoglyphe antarctica,Hyperoglyphe,Teleostei,63000,15,140,TL,5.5,58.5,6150000,NA,,,,,,,,,,,,
Pacific barrelfish,Centrolophidae,Hyperoglyphe japonica,Hyperoglyphe,Teleostei,10200,NA,90,TL,NA,NA,NA,NA,,,,,,,,,,,,
Barrelfish,Centrolophidae,Hyperoglyphe perciformis,Hyperoglyphe,Teleostei,12300,NA,91,TL,NA,NA,NA,NA,,,,,,,,,,,,
Hawaiian grouper,Epinephelidae,Hyporthodus quernus,Hyporthodus,Teleostei,22650,NA,122,TL,NA,NA,NA,NA,,,,,,,,,,,,
Skipjack tuna,Scombridae,Katsuwonus pelamis,Katsuwonus,Teleostei,34500,12,110,FL,1,42.9,2464079.125,NA,,,,,,,,,,,,
Smooth puffer,Tetraodontidae,Lagocephalus laevigatus,Lagocephalus,Teleostei,4870,NA,100,TL,NA,NA,NA,NA,,,,,,,,,,,,
Oceanic puffer,Tetraodontidae,Lagocephalus lagocephalus,Lagocephalus,Teleostei,3170,NA,61,TL,NA,NA,NA,NA,,,,,,,,,,,,
Silver scabbardfish,Trichiuridae,Lepidopus caudatus,Lepidopus,Teleostei,8000,8,210,TL,NA,91,NA,0.6,,,,,,,,,,,,
Pacific scabbardfish,Trichiuridae,Lepidopus fitchi,Lepidopus,Teleostei,1400,NA,210,SL,NA,NA,NA,NA,,,,,,,,,,,,
West African ilisha,Pristigasteridae,Ilisha africana,Ilisha,Teleostei,144,NA,30,SL,NA,13.5,11801.5,NA,,,,,,,,,,,,
Elongate ilisha,Pristigasteridae,Ilisha elongata,Ilisha,Teleostei,140,NA,60,TL,NA,NA,146550,NA,,,,,,,,,,,,
Black marlin,Istiophoridae,Istiompax indica,Istiompax,Teleostei,750000,NA,465,FL,NA,NA,84500000,NA,,,,,,,,,,,,
Atlantic sailfish,Istiophoridae,Istiophorus albicans,Istiophorus,Teleostei,58100,3.5,315,TL,NA,118,6575000,NA,,,,,,,,,,,,
Indo-Pacific sailfish,Istiophoridae,Istiophorus platypterus,Istiophorus,Teleostei,100240,13,348,FL,NA,NA,NA,NA,,,,,,,,,,,,
Atlantic white marlin,Istiophoridae,Kajikia albida,Kajikia,Teleostei,82500,NA,300,TL,NA,130,NA,NA,,,,,,,,,,,,
Striped marlin,Istiophoridae,Kajikia audax,Kajikia,Teleostei,440000,9,420,TL,2,180,18030625.75,NA,,,,,,,,,,,,
Opah,Lampridae,Lampris guttatus,Lampris,Teleostei,270000,NA,100.5,SL,NA,NA,8450000,NA,,,,,,,,,,,,
Southern opah,Lampridae,Lampris immaculatus,Lampris,Teleostei,30000,NA,110,TL,NA,NA,NA,NA,,,,,,,,,,,,
Large yellow croaker,Sciaenidae,Larimichthys crocea,Larimichthys,Teleostei,243.6000061,6,80,TL,NA,17,NA,0.257999992,,,,,,,,,,,,
Yellow croaker,Sciaenidae,Larimichthys polyactis,Larimichthys,Teleostei,189.8000031,23,40,SL,NA,NA,14729,NA,,,,,,,,,,,,
Escolar,Gempylidae,Lepidocybium flavobrunneum,Lepidocybium,Teleostei,45000,NA,200,SL,NA,NA,NA,NA,,,,,,,,,,,,
Leerfish,Carangidae,Lichia amia,Lichia,Teleostei,50000,NA,200,TL,NA,60,NA,NA,,,,,,,,,,,,
Atlantic sabretooth anchovy,Engraulidae,Lycengraulis grossidens,Lycengraulis,Teleostei,57,NA,23.5,SL,NA,NA,3752,NA,,,,,,,,,,,,
Tripletail,Lobotidae,Lobotes surinamensis,Lobotes,Teleostei,19200,NA,110,TL,NA,NA,NA,NA,,,,,,,,,,,,
Luvar,Luvaridae,Luvarus imperialis,Luvarus,Teleostei,150000,NA,200,TL,NA,NA,NA,NA,,,,,,,,,,,,
Whitson's grenadier,Macrouridae,Macrourus whitsoni,Macrourus,Teleostei,5100,NA,84,TL,NA,NA,NA,NA,,,,,,,,,,,,
Patagonian grenadier,Macruronidae,Macruronus magellanicus,Macruronus,Teleostei,5000,19,115,TL,NA,55.44999886,NA,NA,,,,,,,,,,,,
Blue grenadier,Macruronidae,Macruronus novaezelandiae,Macruronus,Teleostei,1500,25,120,TL,3.5,63.6,NA,0.225,,,,,,,,,,,,
Indo-Pacific blue marlin,Istiophoridae,Makaira mazara,Makaira,Teleostei,170000,28,500,TL,4,130,65200000,NA,,,,,,,,,,,,
Blue marlin,Istiophoridae,Makaira nigricans,Makaira,Teleostei,636000,20,500,TL,NA,65,7805000,NA,,,,,,,,,,,,
Capelin,Osmeridae,Mallotus villosus,Mallotus,Teleostei,52,10,20,TL,2,13,15912.70673,0.7,,,,,,,,,,,,
Sharptail mola,Molidae,Masturus lanceolatus,Masturus,Teleostei,2.00E+06,NA,337,TL,NA,NA,NA,NA,,,,,,,,,,,,
